mode,repeat,gpu_us
store,1,5.6537501514
store,1,5.65224979073
store,1,5.66725013778
store,1,5.64449978992
store,1,5.66925015301
store,1,5.65925007686
store,1,5.65950013697
store,1,5.67624997348
store,1,5.66849997267
store,1,5.66049991176
store,2,10.5892503634
store,2,10.56674961
store,2,10.5424998328
store,2,10.5649996549
store,2,10.5702504516
store,2,10.5584999546
store,2,10.5482498184
store,2,10.5590000749
store,2,10.5584999546
store,2,10.5662504211
store,2,10.5502502993
store,2,10.5367498472
store,2,10.5187501758
store,2,10.5515001342
store,2,10.5659998953
store,2,10.638250038
store,2,10.5482498184
store,2,10.5320001021
store,2,10.5520002544
store,2,10.5477496982
store,2,10.5902496725
store,2,10.5957500637
store,2,10.5692502111
store,2,10.573499836
store,2,10.5537502095
store,4,20.3924998641
store,4,20.4009991139
store,4,20.3370004892
store,4,20.3789994121
store,4,20.3354991972
store,4,20.4022508115
store,4,20.3312505037
store,4,20.3329995275
store,4,20.3224997967
store,4,20.3547496349
store,4,20.346250385
store,4,20.3002505004
store,4,20.3399993479
store,4,20.3237496316
store,4,20.3074999154
store,4,20.3162506223
store,4,20.3467495739
store,4,20.3392505646
store,4,20.3154999763
store,4,20.3085001558
store,4,20.3095003963
store,4,20.3089993447
store,4,20.3337501734
store,4,20.4050000757
store,4,20.3489996493
store,8,82.3662504554
store,8,82.3524966836
store,8,82.3599994183
store,8,82.3387503624
store,8,82.3765024543
store,8,82.4567526579
store,8,82.3509991169
store,8,82.3087468743
store,8,82.2927504778
store,8,82.3054984212
store,8,82.3932513595
store,8,82.3355019093
store,8,82.3320001364
store,8,82.5162529945
store,8,82.3047533631
store,8,82.3022499681
store,8,82.3442488909
store,8,82.3479965329
store,8,82.5122520328
store,8,82.2279974818
store,8,82.360252738
store,8,82.3652520776
store,8,82.5645029545
store,8,82.5752466917
store,8,82.3919996619
store,16,166.480749846
store,16,166.567742825
store,16,166.33425653
store,16,166.456252337
store,16,166.505753994
store,16,166.558250785
store,16,166.365742683
store,16,166.534751654
store,16,166.536748409
store,16,166.346743703
store,16,166.436254978
store,16,166.457995772
store,16,166.641250253
store,16,166.749253869
store,16,166.729256511
store,16,166.825503111
store,16,166.576251388
store,16,166.569754481
store,16,166.935756803
store,16,166.536256671
store,16,166.61849618
store,16,166.617497802
store,16,166.60374403
store,16,166.712999344
store,16,166.409254074
